id,query,intent_json
88,top rated Telugu supernatural,"{""language"": ""Telugu"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
89,recommend a family movie,"{""genre"": ""Family""}"
90,movies like sultan,"{""similar_to"": ""Sultan""}"
91,sad night movie,"{""mood"": ""sad""}"
92,bangla historical web series,"{""language"": ""Bengali"", ""genre"": ""Historical"", ""content_type"": ""Web Series""}"
93,top rated Marathi dark comedy,"{""language"": ""Marathi"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
94,best movies of 2019,"{""year"": 2019, ""rating_type"": ""top rated""}"
95,movies like tiger zinda hai,"{""similar_to"": ""Tiger Zinda Hai""}"
96,beast good hai ya nahi,"{""title"": ""Beast"", ""rating_type"": ""top rated""}"
97,movies with aamir khan,"{""actor"": ""Aamir Khan""}"
98,is article 15 available on Netflix,"{""title"": ""Article 15"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
99,I want to watch something inspirational,"{""mood"": ""inspirational""}"
100,family historical movies 2021,"{""genre"": ""Historical"", ""year"": 2021, ""audience"": ""family""}"
101,feeling sad movie,"{""mood"": ""sad""}"
102,new sandalwood supernatural,"{""language"": ""Kannada"", ""genre"": ""Supernatural"", ""recency"": ""latest""}"
103,historical movies of allu arjun,"{""actor"": ""Allu Arjun"", ""genre"": ""Historical""}"
104,mallu film sports,"{""language"": ""Malayalam"", ""genre"": ""Sports""}"
105,piggy chops wali drishyam,"{""actor"": ""Priyanka Chopra"", ""title"": ""Drishyam""}"
106,greek god wali movie,"{""actor"": ""Hrithik Roshan""}"
107,new telugu lo biopic,"{""language"": ""Telugu"", ""genre"": ""Biopic"", ""recency"": ""latest""}"
108,YouTube original series,"{""platform"": ""YouTube"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
109,classic Telugu movies,"{""language"": ""Telugu"", ""rating_type"": ""classic""}"
110,show me Kannada movies from 2024,"{""language"": ""Kannada"", ""year"": 2024}"
111,family thriller movies 2021,"{""genre"": ""Thriller"", ""year"": 2021, ""audience"": ""family""}"
112,classic Gujarati movies,"{""language"": ""Gujarati"", ""rating_type"": ""classic""}"
113,is brahmastra available on Jio Cinema,"{""title"": ""Brahmastra"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
114,latest Bhojpuri releases,"{""language"": ""Bhojpuri"", ""recency"": ""latest""}"
115,vikram vedha available hai kya OTT pe,"{""title"": ""Vikram Vedha"", ""query_type"": ""availability""}"
116,deepika new movie drishyam,"{""actor"": ""Deepika Padukone"", ""title"": ""Drishyam"", ""recency"": ""latest""}"
117,top rated Punjabi mystery,"{""language"": ""Punjabi"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
118,new on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""recency"": ""latest""}"
119,vijay film drishyam,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Drishyam""}"
120,top 10 sports movies ever made,"{""genre"": ""Sports"", ""rating_type"": ""top rated""}"
121,award winning Hindi films,"{""language"": ""Hindi"", ""rating_type"": ""award winning""}"
122,feeling romantic movie,"{""mood"": ""romantic""}"
123,2024 blockbusters,"{""year"": 2024, ""rating_type"": ""blockbuster""}"
124,movies like phone bhoot,"{""similar_to"": ""Phone Bhoot""}"
125,what are good sci-fi films on Amazon Prime,"{""genre"": ""Sci-Fi"", ""platform"": ""Amazon Prime"", ""rating_type"": ""top rated""}"
126,movies with lalettan,"{""actor"": ""Mohanlal""}"
127,lalettan all movies list,"{""actor"": ""Mohanlal""}"
128,garuda gamana vrishabha vahana ke jaise aur koi hai kya,"{""similar_to"": ""Garuda Gamana Vrishabha Vahana""}"
129,2018 mein kaunsi achi movies aayi,"{""year"": 2018, ""rating_type"": ""top rated""}"
130,raees film,"{""title"": ""Raees""}"
131,gadar 2,"{""title"": ""Gadar 2""}"
132,is vikram vedha available on YouTube,"{""title"": ""Vikram Vedha"", ""platform"": ""YouTube"", ""query_type"": ""availability""}"
133,top 10 dark comedy movies ever made,"{""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
134,recommend a thriller movie,"{""genre"": ""Thriller""}"
135,intense films recommend karo,"{""mood"": ""intense""}"
136,what to watch on MX Player,"{""platform"": ""MX Player""}"
137,best ayushman movies,"{""actor"": ""Ayushmann Khurrana"", ""rating_type"": ""top rated""}"
138,best show,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
139,best bhojpuri dark comedy,"{""language"": ""Bhojpuri"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
140,best mammukka movies,"{""rating_type"": ""top rated"", ""actor"": ""mammootty""}"
141,new releases on Amazon Prime,"{""platform"": ""Amazon Prime"", ""recency"": ""latest""}"
142,movies by imtiaz ali,"{""director"": ""Imtiaz Ali""}"
143,lokesh kanagaraj ki film,"{""director"": ""Lokesh Kanagaraj""}"
144,malayalam dark comedy,"{""language"": ""Malayalam"", ""genre"": ""Dark comedy""}"
145,skanda ka rating kya hai,"{""title"": ""Skanda"", ""query_type"": ""rating/review""}"
146,ranveer ke saare movies,"{""actor"": ""Ranveer Singh""}"
147,is andhadhun available on Jio Cinema,"{""title"": ""Andhadhun"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
148,new on Jio Cinema,"{""platform"": ""Jio Cinema"", ""recency"": ""latest""}"
149,vijay all movies list,"{""actor"": ""Vijay Deverakonda""}"
150,family sci-fi movies 2020,"{""genre"": ""Sci-Fi"", ""year"": 2020, ""audience"": ""family""}"
151,an action hero OTT release,"{""title"": ""An Action Hero"", ""query_type"": ""availability""}"
152,top rated Malayalam sports,"{""language"": ""Malayalam"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
153,best dark comedy movies of 2025,"{""genre"": ""Dark comedy"", ""year"": 2025, ""rating_type"": ""top rated""}"
154,new releases on SonyLIV,"{""platform"": ""SonyLIV"", ""recency"": ""latest""}"
155,best movies of 2021,"{""year"": 2021, ""rating_type"": ""top rated""}"
156,ponniyin selvan review,"{""title"": ""Ponniyin Selvan"", ""query_type"": ""rating/review""}"
157,vidya historical movie,"{""actor"": ""Vidya Balan"", ""genre"": ""Historical""}"
158,show me Malayalam movies from 2019,"{""language"": ""Malayalam"", ""year"": 2019}"
159,family drama movies 2025,"{""genre"": ""Drama"", ""year"": 2025, ""audience"": ""family""}"
160,movies with sallu,"{""actor"": ""Salman Khan""}"
161,mujhe light hearted movie chahiye,"{""mood"": ""light hearted""}"
162,2022 blockbusters,"{""year"": 2022, ""rating_type"": ""blockbuster""}"
163,kantara jesi film suggest karo,"{""similar_to"": ""Kantara""}"
164,family biopic movies 2022,"{""genre"": ""Biopic"", ""year"": 2022, ""audience"": ""family""}"
165,best sallu movies,"{""actor"": ""Salman Khan"", ""rating_type"": ""top rated""}"
166,top rated Hindi drama,"{""language"": ""Hindi"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
167,family sports movies 2024,"{""genre"": ""Sports"", ""year"": 2024, ""audience"": ""family""}"
168,war rating,"{""title"": ""War"", ""query_type"": ""rating/review""}"
169,I want to watch something sad,"{""mood"": ""sad""}"
170,award winning Kannada films,"{""language"": ""Kannada"", ""rating_type"": ""award winning""}"
171,is brahmastra available on Amazon Prime,"{""title"": ""Brahmastra"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
172,new on SonyLIV,"{""platform"": ""SonyLIV"", ""recency"": ""latest""}"
173,b'wood dark comedy web series,"{""genre"": ""Dark comedy"", ""content_type"": ""Web Series"", ""language"": ""Hindi""}"
174,best of ss rajamouli,"{""director"": ""SS Rajamouli"", ""rating_type"": ""top rated""}"
175,mujhe intense movie chahiye,"{""mood"": ""intense""}"
176,movies like mard ko dard nahi hota,"{""similar_to"": ""Mard Ko Dard Nahi Hota""}"
177,kangana ki films,"{""actor"": ""Kangana Ranaut""}"
178,big b movies,"{""actor"": ""Amitabh Bachchan""}"
179,show me Malayalam movies from 2024,"{""language"": ""Malayalam"", ""year"": 2024}"
180,movies like gulabo sitabo,"{""similar_to"": ""Gulabo Sitabo""}"
181,phone bhoot ka rating kya hai,"{""title"": ""Phone Bhoot"", ""query_type"": ""rating/review""}"
182,Amazon Prime original,"{""platform"": ""Amazon Prime"", ""badge"": ""Original""}"
183,an action hero ka rating kya hai,"{""title"": ""An Action Hero"", ""query_type"": ""rating/review""}"
184,where to watch article 15,"{""title"": ""Article 15"", ""query_type"": ""availability""}"
185,rk romance movie,"{""actor"": ""Ranbir Kapoor"", ""genre"": ""Romance""}"
186,show me Punjabi movies from 2024,"{""language"": ""Punjabi"", ""year"": 2024}"
187,vidya balan ke saare movies,"{""actor"": ""Vidya Balan""}"
188,khiladi new film,"{""actor"": ""Akshay Kumar"", ""recency"": ""latest""}"
189,bajrangi bhaijaan,"{""title"": ""Bajrangi Bhaijaan""}"
190,classic Bengali movies,"{""language"": ""Bengali"", ""rating_type"": ""classic""}"
191,award winning Gujarati films,"{""language"": ""Gujarati"", ""rating_type"": ""award winning""}"
192,dunki online,"{""title"": ""Dunki""}"
193,pushpa type movie,"{""similar_to"": ""Pushpa""}"
194,recommend a mystery movie,"{""genre"": ""Mystery""}"
195,top rated Malayalam thriller,"{""language"": ""Malayalam"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
196,shershaah jesi film suggest karo,"{""similar_to"": ""Shershaah""}"
197,tiger shroff new movie kota factory,"{""actor"": ""Tiger Shroff"", ""title"": ""Kota Factory"", ""recency"": ""latest""}"
198,show me Tamil movies from 2019,"{""language"": ""Tamil"", ""year"": 2019}"
199,ZEE5 movies,"{""platform"": ""ZEE5""}"
200,dark comedy movies of ranveer singh,"{""actor"": ""Ranveer Singh"", ""genre"": ""Dark comedy""}"
201,2021 blockbusters,"{""year"": 2021, ""rating_type"": ""blockbuster""}"
202,tiger movies,"{""actor"": ""Tiger Shroff""}"
203,top 10 thriller movies ever made,"{""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
204,best thriller movies of 2020,"{""genre"": ""Thriller"", ""year"": 2020, ""rating_type"": ""top rated""}"
205,if you liked manjummel boys,"{""similar_to"": ""Manjummel Boys""}"
206,ayushman ki best movie,"{""actor"": ""Ayushmann Khurrana"", ""rating_type"": ""top rated""}"
207,sandalwood action 2021,"{""language"": ""Kannada"", ""genre"": ""Action"", ""year"": 2021}"
208,movies released in 2022,"{""year"": 2022}"
209,is 777 charlie good,"{""title"": ""777 Charlie"", ""rating_type"": ""top rated""}"
210,delhi crime ke jaise aur koi hai kya,"{""similar_to"": ""Delhi Crime""}"
211,movies with irfan khan,"{""actor"": ""Irrfan Khan""}"
212,karan johar directed movies,"{""director"": ""Karan Johar""}"
213,latest Kannada releases,"{""language"": ""Kannada"", ""recency"": ""latest""}"
214,piggy chops ka sultan,"{""title"": ""Sultan"", ""actor"": ""Priyanka Chopra""}"
215,feeling emotional movie,"{""mood"": ""emotional""}"
216,jalsa online,"{""title"": ""Jalsa""}"
217,recommend a horror movie,"{""genre"": ""Horror""}"
218,koi acchi web series batao,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
219,family romance movies 2018,"{""genre"": ""Romance"", ""year"": 2018, ""audience"": ""family""}"
220,jalsa with piggy chops,"{""title"": ""Jalsa"", ""actor"": ""Priyanka Chopra""}"
221,top rated Bhojpuri drama,"{""language"": ""Bhojpuri"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
222,garuda gamana vrishabha vahana available hai kya OTT pe,"{""title"": ""Garuda Gamana Vrishabha Vahana"", ""query_type"": ""availability""}"
223,watch kota factory,"{""title"": ""Kota Factory""}"
224,underrated Punjabi films,"{""language"": ""Punjabi"", ""rating_type"": ""underrated""}"
225,latest Telugu releases,"{""language"": ""Telugu"", ""recency"": ""latest""}"
226,malayalam action web series,"{""language"": ""Malayalam"", ""genre"": ""Action"", ""content_type"": ""Web Series""}"
227,SonyLIV mein kya hai,"{""platform"": ""SonyLIV""}"
228,show me Punjabi movies from 2021,"{""language"": ""Punjabi"", ""year"": 2021}"
229,hrithik superhit movies,"{""actor"": ""Hrithik Roshan"", ""rating_type"": ""hit""}"
230,sandalwood biopic,"{""language"": ""Kannada"", ""genre"": ""Biopic""}"
231,war ke jaise aur koi hai kya,"{""similar_to"": ""War""}"
232,Disney+ Hotstar binge worthy,"{""platform"": ""Disney+ Hotstar"", ""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
233,movies with badshah,"{""actor"": ""Shah Rukh Khan""}"
234,ZEE5 pe kya dekhein,"{""platform"": ""ZEE5""}"
235,show me Gujarati movies from 2021,"{""language"": ""Gujarati"", ""year"": 2021}"
236,what are good historical films on Netflix,"{""genre"": ""Historical"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}"
237,latest Gujarati releases,"{""language"": ""Gujarati"", ""recency"": ""latest""}"
238,mani ratnam ki best movie kaun si hai,"{""director"": ""Mani Ratnam"", ""rating_type"": ""top rated""}"
239,Netflix web series,"{""platform"": ""Netflix"", ""content_type"": ""Web Series""}"
240,new gujarati mystery,"{""language"": ""Gujarati"", ""genre"": ""Mystery"", ""recency"": ""latest""}"
241,best mystery movies of 2023,"{""genre"": ""Mystery"", ""year"": 2023, ""rating_type"": ""top rated""}"
242,new binge worthy,"{""recency"": ""latest"", ""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
243,best horror movies of 2023,"{""genre"": ""Horror"", ""year"": 2023, ""rating_type"": ""top rated""}"
244,funny films recommend karo,"{""mood"": ""funny""}"
245,underrated Gujarati films,"{""language"": ""Gujarati"", ""rating_type"": ""underrated""}"
246,hi nanna ka rating kya hai,"{""title"": ""Hi Nanna"", ""query_type"": ""rating/review""}"
247,new releases on MX Player,"{""platform"": ""MX Player"", ""recency"": ""latest""}"
248,best punjabi movies 2021,"{""year"": 2021, ""language"": ""Punjabi"", ""rating_type"": ""top rated""}"
249,award winning Malayalam films,"{""language"": ""Malayalam"", ""rating_type"": ""award winning""}"
250,family mystery movies 2020,"{""genre"": ""Mystery"", ""year"": 2020, ""audience"": ""family""}"
251,bhojpuri light hearted movie,"{""mood"": ""light hearted"", ""language"": ""Bhojpuri""}"
252,animal OTT release,"{""title"": ""Animal"", ""query_type"": ""availability""}"
253,best romance movies of 2024,"{""genre"": ""Romance"", ""year"": 2024, ""rating_type"": ""top rated""}"
254,is dobaaraa available on Jio Cinema,"{""title"": ""Dobaaraa"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
255,mujhe emotional movie chahiye,"{""mood"": ""emotional""}"
256,family psychological thriller movies 2025,"{""genre"": ""Psychological thriller"", ""year"": 2025, ""audience"": ""family""}"
257,romantic films recommend karo,"{""mood"": ""romantic""}"
258,fahadh superhit movies,"{""actor"": ""Fahadh Faasil"", ""rating_type"": ""hit""}"
259,lalettan ka 2024 wala,"{""actor"": ""Mohanlal"", ""year"": 2024}"
260,movies like mani ratnam film,"{""similar_to"": ""Mani Ratnam film""}"
261,classic Tamil movies,"{""language"": ""Tamil"", ""rating_type"": ""classic""}"
262,award winning Tamil films,"{""language"": ""Tamil"", ""rating_type"": ""award winning""}"
263,top rated Bengali biopic,"{""language"": ""Bengali"", ""genre"": ""Biopic"", ""rating_type"": ""top rated""}"
264,I want to watch something tearjerker,"{""mood"": ""tearjerker""}"
265,I want to watch something emotional,"{""mood"": ""emotional""}"
266,Jio Cinema movies,"{""platform"": ""Jio Cinema""}"
267,dark night movie,"{""mood"": ""dark""}"
268,best of hrithik,"{""actor"": ""Hrithik Roshan"", ""rating_type"": ""top rated""}"
269,best bhojpuri sci-fi,"{""language"": ""Bhojpuri"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
270,greek god superhit movies,"{""actor"": ""Hrithik Roshan"", ""rating_type"": ""hit""}"
271,movies like gehraiyaan,"{""similar_to"": ""Gehraiyaan""}"
272,how is pathaan,"{""title"": ""Pathaan"", ""query_type"": ""rating/review""}"
273,historical movies 2023,"{""year"": 2023, ""genre"": ""Historical""}"
274,show me Punjabi movies from 2020,"{""language"": ""Punjabi"", ""year"": 2020}"
275,best psychological thriller movies of 2019,"{""genre"": ""Psychological thriller"", ""year"": 2019, ""rating_type"": ""top rated""}"
276,drishyam kahan dekhein,"{""title"": ""Drishyam"", ""query_type"": ""availability""}"
277,latest Malayalam releases,"{""language"": ""Malayalam"", ""recency"": ""latest""}"
278,movies with greek god,"{""actor"": ""Hrithik Roshan""}"
279,is drishyam good,"{""title"": ""Drishyam"", ""rating_type"": ""top rated""}"
280,top rated Telugu comedy,"{""language"": ""Telugu"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
281,family horror movies 2019,"{""genre"": ""Horror"", ""year"": 2019, ""audience"": ""family""}"
282,top rated Marathi horror,"{""language"": ""Marathi"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
283,MX Player pe kya dekhein,"{""platform"": ""MX Player""}"
284,new releases on ZEE5,"{""platform"": ""ZEE5"", ""recency"": ""latest""}"
285,dulquer gujarati action,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Action"", ""language"": ""Gujarati""}"
286,2024 ki best film,"{""year"": 2024, ""rating_type"": ""top rated""}"
287,dangal jaisi movie,"{""similar_to"": ""Dangal""}"
288,best thriller movies of 2018,"{""genre"": ""Thriller"", ""year"": 2018, ""rating_type"": ""top rated""}"
289,farhan akhtar ki film,"{""director"": ""Farhan Akhtar""}"
290,12th fail imdb rating,"{""title"": ""12th Fail"", ""query_type"": ""rating/review""}"
291,family sci-fi movies 2019,"{""genre"": ""Sci-Fi"", ""year"": 2019, ""audience"": ""family""}"
292,ayushmann ka gehraiyaan,"{""actor"": ""Ayushmann Khurrana"", ""title"": ""Gehraiyaan""}"
293,hirani 2018 movie,"{""director"": ""Rajkumar Hirani"", ""year"": 2018}"
294,movies like 777 charlie,"{""similar_to"": ""777 Charlie""}"
295,top 10 biopic movies ever made,"{""genre"": ""Biopic"", ""rating_type"": ""top rated""}"
296,bajrangi bhaijaan with rebel star prabhas,"{""actor"": ""Prabhas"", ""title"": ""Bajrangi Bhaijaan""}"
297,top OTT show recommend karo,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
298,best kat movies,"{""rating_type"": ""top rated"", ""actor"": ""Katrina Kaif""}"
299,new web series,"{""content_type"": ""Web Series"", ""recency"": ""latest""}"
300,koi light hearted movie suggest karo,"{""mood"": ""light hearted""}"
301,recommend a biopic movie,"{""genre"": ""Biopic""}"
302,family thriller movies 2023,"{""genre"": ""Thriller"", ""year"": 2023, ""audience"": ""family""}"
303,movies like kushi,"{""similar_to"": ""Kushi""}"
304,alia bhatt movies,"{""actor"": ""Alia Bhatt""}"
305,hrithik ki best historical film,"{""actor"": ""Hrithik Roshan"", ""genre"": ""Historical"", ""rating_type"": ""top rated""}"
306,aamir wali brahmastra,"{""actor"": ""Aamir Khan"", ""title"": ""Brahmastra""}"
307,best bebo movies,"{""actor"": ""Kareena Kapoor"", ""rating_type"": ""top rated""}"
308,ranbir 2022 movie,"{""actor"": ""Ranbir Kapoor"", ""year"": 2022}"
309,2019 blockbusters,"{""year"": 2019, ""rating_type"": ""blockbuster""}"
310,top marathi biopic movies,"{""language"": ""Marathi"", ""genre"": ""Biopic"", ""rating_type"": ""top rated""}"
311,new series,"{""content_type"": ""Web Series"", ""recency"": ""latest""}"
312,roohi type movie,"{""similar_to"": ""Roohi""}"
313,top 10 romance movies ever made,"{""genre"": ""Romance"", ""rating_type"": ""top rated""}"
314,best crime movies of 2023,"{""genre"": ""Crime"", ""year"": 2023, ""rating_type"": ""top rated""}"
315,I want to watch something suspenseful,"{""mood"": ""suspenseful""}"
316,YouTube movies,"{""platform"": ""YouTube""}"
317,dobaaraa OTT release,"{""title"": ""Dobaaraa"", ""query_type"": ""availability""}"
318,rebel star prabhas ki best thriller film,"{""actor"": ""Prabhas"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
319,psychological thriller movies of irfan khan,"{""actor"": ""Irrfan Khan"", ""genre"": ""Psychological thriller""}"
